PITS_MatchName,Sample name,Site_sample,Site
FITS_SBS3.PITSFITS.15.S63.L001,FITS_SBS3.PITSFITS.15.S63.L001,YL_1,Younger_Lagoon
FITS_SBS3.PITSFITS.16.S64.L001,FITS_SBS3.PITSFITS.16.S64.L001,YL_1,Younger_Lagoon
FITS_SBS3.PITSFITS.9.S57.L001,FITS_SBS3.PITSFITS.9.S57.L001,YL_1,Younger_Lagoon
FITS_SBS4.FITS.1.S202.L001,FITS_SBS4.FITS.1.S202.L001,YL_2,Younger_Lagoon
FITS_SBS4.FITS.17.S210.L001,FITS_SBS4.FITS.17.S210.L001,YL_2,Younger_Lagoon
FITS_SBS4.FITS.18.S211.L001,FITS_SBS4.FITS.18.S211.L001,YL_2,Younger_Lagoon
FITS_SBS4.FITS.19.S212.L001,FITS_SBS4.FITS.19.S212.L001,YL_2,Younger_Lagoon
FITS_SBS4.FITS.2.S203.L001,FITS_SBS4.FITS.2.S203.L001,YL_2,Younger_Lagoon
FITS_SBS4.FITS.20.S213.L001,FITS_SBS4.FITS.20.S213.L001,YL_2,Younger_Lagoon
FITS_SBS4.FITS.21.S214.L001,FITS_SBS4.FITS.21.S214.L001,YL_2,Younger_Lagoon
FITS_SBS4.FITS.22.S215.L001,FITS_SBS4.FITS.22.S215.L001,YL_2,Younger_Lagoon
FITS_SBS4.FITS.23.S216.L001,FITS_SBS4.FITS.23.S216.L001,YL_2,Younger_Lagoon
FITS_SBS4.FITS.24.S217.L001,FITS_SBS4.FITS.24.S217.L001,YL_2,Younger_Lagoon
FITS_SBS4.FITS.3.S204.L001,FITS_SBS4.FITS.3.S204.L001,YL_2,Younger_Lagoon
FITS_SBS4.FITS.4.S205.L001,FITS_SBS4.FITS.4.S205.L001,YL_2,Younger_Lagoon
FITS_SBS4.FITS.5.S206.L001,FITS_SBS4.FITS.5.S206.L001,YL_2,Younger_Lagoon
FITS_SBS4.FITS.6.S207.L001,FITS_SBS4.FITS.6.S207.L001,YL_2,Younger_Lagoon
FITS_SBS4.FITS.7.S208.L001,FITS_SBS4.FITS.7.S208.L001,YL_2,Younger_Lagoon
FITS_SBS4.FITS.8.S209.L001,FITS_SBS4.FITS.8.S209.L001,YL_2,Younger_Lagoon
FITS_SBS4.PITSFITS.10.S82.L001,FITS_SBS4.PITSFITS.10.S82.L001,YL_2,Younger_Lagoon
FITS_SBS4.PITSFITS.11.S83.L001,FITS_SBS4.PITSFITS.11.S83.L001,YL_2,Younger_Lagoon
FITS_SBS4.PITSFITS.12.S84.L001,FITS_SBS4.PITSFITS.12.S84.L001,YL_2,Younger_Lagoon
FITS_SBS4.PITSFITS.13.S85.L001,FITS_SBS4.PITSFITS.13.S85.L001,YL_2,Younger_Lagoon
FITS_SBS4.PITSFITS.14.S86.L001,FITS_SBS4.PITSFITS.14.S86.L001,YL_2,Younger_Lagoon
FITS_SBS4.PITSFITS.15.S87.L001,FITS_SBS4.PITSFITS.15.S87.L001,YL_2,Younger_Lagoon
FITS_SBS4.PITSFITS.16.S88.L001,FITS_SBS4.PITSFITS.16.S88.L001,YL_2,Younger_Lagoon
FITS_SBS4.PITSFITS.9.S81.L001,FITS_SBS4.PITSFITS.9.S81.L001,YL_2,Younger_Lagoon
FITS_SBS5.FITS.1.S218.L001,FITS_SBS5.FITS.1.S218.L001,StP_15,St_Paul
FITS_SBS5.FITS.10.S227.L001,FITS_SBS5.FITS.10.S227.L001,StP_15,St_Paul
FITS_SBS5.FITS.11.S228.L001,FITS_SBS5.FITS.11.S228.L001,StP_15,St_Paul
FITS_SBS5.FITS.12.S229.L001,FITS_SBS5.FITS.12.S229.L001,StP_15,St_Paul
FITS_SBS5.FITS.13.S230.L001,FITS_SBS5.FITS.13.S230.L001,StP_15,St_Paul
FITS_SBS5.FITS.14.S231.L001,FITS_SBS5.FITS.14.S231.L001,StP_15,St_Paul
FITS_SBS5.FITS.15.S232.L001,FITS_SBS5.FITS.15.S232.L001,StP_15,St_Paul
FITS_SBS5.FITS.16.S233.L001,FITS_SBS5.FITS.16.S233.L001,StP_15,St_Paul
FITS_SBS5.FITS.17.S234.L001,FITS_SBS5.FITS.17.S234.L001,StP_15,St_Paul
FITS_SBS5.FITS.18.S235.L001,FITS_SBS5.FITS.18.S235.L001,StP_15,St_Paul
FITS_SBS5.FITS.19.S236.L001,FITS_SBS5.FITS.19.S236.L001,StP_15,St_Paul
FITS_SBS5.FITS.2.S219.L001,FITS_SBS5.FITS.2.S219.L001,StP_15,St_Paul
FITS_SBS5.FITS.20.S237.L001,FITS_SBS5.FITS.20.S237.L001,StP_15,St_Paul
FITS_SBS5.FITS.21.S238.L001,FITS_SBS5.FITS.21.S238.L001,StP_15,St_Paul
FITS_SBS5.FITS.22.S239.L001,FITS_SBS5.FITS.22.S239.L001,StP_15,St_Paul
FITS_SBS5.FITS.23.S240.L001,FITS_SBS5.FITS.23.S240.L001,StP_15,St_Paul
FITS_SBS5.FITS.24.S241.L001,FITS_SBS5.FITS.24.S241.L001,StP_15,St_Paul
FITS_SBS5.FITS.3.S220.L001,FITS_SBS5.FITS.3.S220.L001,StP_15,St_Paul
FITS_SBS5.FITS.4.S221.L001,FITS_SBS5.FITS.4.S221.L001,StP_15,St_Paul
FITS_SBS5.FITS.5.S222.L001,FITS_SBS5.FITS.5.S222.L001,StP_15,St_Paul
FITS_SBS5.FITS.6.S223.L001,FITS_SBS5.FITS.6.S223.L001,StP_15,St_Paul
FITS_SBS5.FITS.7.S224.L001,FITS_SBS5.FITS.7.S224.L001,StP_15,St_Paul
FITS_SBS5.FITS.8.S225.L001,FITS_SBS5.FITS.8.S225.L001,StP_15,St_Paul
FITS_SBS5.FITS.9.S226.L001,FITS_SBS5.FITS.9.S226.L001,StP_15,St_Paul
FITS_SBS6.FITS.1.S242.L001,FITS_SBS6.FITS.1.S242.L001,StP_20,St_Paul
FITS_SBS6.FITS.10.S251.L001,FITS_SBS6.FITS.10.S251.L001,StP_20,St_Paul
FITS_SBS6.FITS.11.S252.L001,FITS_SBS6.FITS.11.S252.L001,StP_20,St_Paul
FITS_SBS6.FITS.12.S253.L001,FITS_SBS6.FITS.12.S253.L001,StP_20,St_Paul
FITS_SBS6.FITS.13.S254.L001,FITS_SBS6.FITS.13.S254.L001,StP_20,St_Paul
FITS_SBS6.FITS.14.S255.L001,FITS_SBS6.FITS.14.S255.L001,StP_20,St_Paul
